,gen_pair_nr,rt60_diff,rt60_set,volume,room_x,room_y,room_z,mic_pos_x,mic_pos_y,mic_pos_z,src1_pos_x,src1_pos_y,src1_pos_z,src2_pos_x,src2_pos_y,src2_pos_z,rt60_true,rt60_masp_stats,cd_masp_stats,mfp_masp_stats,rt30_meas,rt20_meas,edt_meas,c50_meas,ir_file_name,ir_clone_file_name,ir_file_path,ir_clone_file_path,split,database_speech,speech_file_path
0,0,0.31399999999999995,0.787,1128.26,11.39,18.23,5.43,4.211025084311559,9.760310043616892,1.7488192800721702,1.2349542978254346,11.034810752161242,1.2807798721058892,3.520913079378505,4.234204838356626,1.9867580991114289,0.7870045017205627,0.7870045017205627,2.135460617619466,6.119707405876579,1.1039469858501416,1.0577059914749407,0.8552578166569696,1.027292370739387,monoRIR_x1139y1823z543_rtms79.wav,clone_monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1139y1823z543_rtms79.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p292/p292_168_mic1.flac
1,2594,0.31399999999999995,1.101,855.72,11.84,17.04,4.24,4.666802958800851,9.668751843808291,1.4866662914087574,9.03682610080084,2.347490077848142,1.714550038594843,9.310369920347387,3.944316862313789,1.480915953322472,1.1012218653858166,1.1012218653858166,1.5724658606304764,5.277128925913496,1.8180399916461127,1.8329934160665524,1.6580778385537778,-8.261206858600106,monoRIR_x1184y1704z424_rtms110.wav,clone_monoRIR_x1184y1704z424_rtms110.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1184y1704z424_rtms110.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1184y1704z424_rtms110.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p295/p295_371_mic2.flac
2,0,0.44200000000000006,0.787,1128.26,11.39,18.23,5.43,4.211025084311559,9.760310043616892,1.7488192800721702,1.2349542978254346,11.034810752161242,1.2807798721058892,3.520913079378505,4.234204838356626,1.9867580991114289,0.7870045017205627,0.7870045017205627,2.135460617619466,6.119707405876579,1.1039469858501416,1.0577059914749407,0.8552578166569696,1.027292370739387,monoRIR_x1139y1823z543_rtms79.wav,clone_monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1139y1823z543_rtms79.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p339/p339_237_mic1.flac
3,6642,0.44200000000000006,1.229,144.89,5.45,7.06,3.77,1.467619603552441,2.86738879559506,1.581616752382745,2.06397731674159,1.578759348303836,1.5824684494774903,2.135198489545145,1.4662769345494366,1.5896444495951347,1.229053316933694,1.228946683066306,0.6129567324998509,3.3876412458240743,1.620828899459006,1.5766130190622218,1.4624384771650345,-2.6746822570448234,monoRIR_x545y706z377_rtms123.wav,clone_monoRIR_x545y706z377_rtms123.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x545y706z377_rtms123.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x545y706z377_rtms123.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p294/p294_343_mic2.flac
4,0,0.3709999999999999,0.787,1128.26,11.39,18.23,5.43,4.211025084311559,9.760310043616892,1.7488192800721702,1.2349542978254346,11.034810752161242,1.2807798721058892,3.520913079378505,4.234204838356626,1.9867580991114289,0.7870045017205627,0.7870045017205627,2.135460617619466,6.119707405876579,1.1039469858501416,1.0577059914749407,0.8552578166569696,1.027292370739387,monoRIR_x1139y1823z543_rtms79.wav,clone_monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1139y1823z543_rtms79.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p278/p278_133_mic1.flac
5,5096,0.3709999999999999,1.158,2314.55,18.51,23.16,5.4,7.423757117349266,14.400865242890838,1.6750949218818345,6.260512011881133,3.337369463951008,1.6539384991307335,3.2188091217234622,7.513272120091241,1.7528239691253071,1.1581824512532524,1.1581824512532524,2.5223534351248484,7.082455695923696,1.886495034543049,1.9200478432520447,1.799302961505323,-11.192483817562492,monoRIR_x1851y2316z540_rtms115.wav,clone_monoRIR_x1851y2316z540_rtms115.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1851y2316z540_rtms115.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1851y2316z540_rtms115.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p310/p310_221_mic1.flac
6,0,0.5660000000000001,0.787,1128.26,11.39,18.23,5.43,4.211025084311559,9.760310043616892,1.7488192800721702,1.2349542978254346,11.034810752161242,1.2807798721058892,3.520913079378505,4.234204838356626,1.9867580991114289,0.7870045017205627,0.7870045017205627,2.135460617619466,6.119707405876579,1.1039469858501416,1.0577059914749407,0.8552578166569696,1.027292370739387,monoRIR_x1139y1823z543_rtms79.wav,clone_monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1139y1823z543_rtms79.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p285/p285_389_mic1.flac
7,4162,0.5660000000000001,0.221,97.44,6.22,6.63,2.36,1.9031340502912728,3.3545291785716644,1.2755026414660513,3.05187254078855,1.0403910757154662,1.021879867494781,1.0479211242564277,3.209085177860281,1.8591852955769843,0.2210055370485271,0.2209944629514728,1.183974436248845,2.7198669733359786,0.2897253598218717,0.2944209572056811,0.3167308489943678,8.495045157111129,monoRIR_x622y663z236_rtms22.wav,clone_monoRIR_x622y663z236_rtms22.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x622y663z236_rtms22.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x622y663z236_rtms22.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p256/p256_147_mic2.flac
8,0,0.499,0.787,1128.26,11.39,18.23,5.43,4.211025084311559,9.760310043616892,1.7488192800721702,1.2349542978254346,11.034810752161242,1.2807798721058892,3.520913079378505,4.234204838356626,1.9867580991114289,0.7870045017205627,0.7870045017205627,2.135460617619466,6.119707405876579,1.1039469858501416,1.0577059914749407,0.8552578166569696,1.027292370739387,monoRIR_x1139y1823z543_rtms79.wav,clone_monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1139y1823z543_rtms79.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1139y1823z543_rtms79.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p311/p311_289_mic1.flac
9,1080,0.499,1.286,1492.17,12.78,23.63,4.94,8.60967444390158,15.448777080683383,1.6162932232388836,5.000660629551643,7.701085833914892,1.1031746613803104,5.21868170544988,15.33281251837801,1.21600374022165,1.2862530453193002,1.2857469546807,1.9217994894107533,6.192036787692941,2.251770910579642,2.2715537768403515,2.032836271776872,-9.304485194641694,monoRIR_x1278y2363z494_rtms129.wav,clone_monoRIR_x1278y2363z494_rtms129.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/monoRIR_x1278y2363z494_rtms129.wav,/home/ubuntu/guestxr2/home/ubuntu/Data/synth_rirs_new/clone_monoRIR_x1278y2363z494_rtms129.wav,train,VCTK,/home/ubuntu/guestxr2/home/ubuntu/Data/VCTK/wav48_silence_trimmed/p343/p343_242_mic1.flac
